NOTE  |Author: Sardo - ver. 1.0 - 05.01.2016 
NOTE  |Updated by Arch, All Archers.  170128a
NOTE  |Attack: FF Barch, +2 tile from redline
NOTE  |Make these Troops: Archers 100% / Wizards, opt poison, opt pekka
NOTE  |Will drop Archers, All Heroes and Castle, Poison if enabled from GUI

      |---------------------------------------- four fingers barch start -----------------------------|

      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |           |           |           |           |           |           |           |RANDOM     |Main side it's useless, random choice


      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|MAKE BARBARIAN VECTORS
MAKE  |A          |FRONT-RIGHT|10         |2          |EXT-INT    |2          |2          |           |from vertex sx and dx to middle sides (10 drop points), 2 tile from red line
MAKE  |B          |RIGHT-FRONT|10         |2          |EXT-INT    |2          |2          |           |
MAKE  |C          |LEFT-BACK  |10         |2          |EXT-INT    |2          |2          |           |
MAKE  |D          |BACK-LEFT  |10         |2          |EXT-INT    |2          |2          |           |
MAKE  |E          |FRONT-LEFT |10         |2          |INT-EXT    |2          |2          |           |from middle sides sx and dx to up and down vertex (10 drop points), 2 tile from red line
MAKE  |F          |RIGHT-BACK |10         |2          |INT-EXT    |2          |2          |           |
MAKE  |G          |LEFT-FRONT |10         |2          |INT-EXT    |2          |2          |           |
MAKE  |H          |BACK-RIGHT |10         |2          |INT-EXT    |2          |2          |           |
MAKE  |I          |FRONT-LEFT |5          |2          |EXT-INT    |2          |2          |           |from top and down vertex to middle sides (5 drop points), 2 tile from red line
MAKE  |J          |RIGHT-BACK |5          |2          |EXT-INT    |2          |2          |           |
MAKE  |K          |LEFT-FRONT |5          |2          |EXT-INT    |2          |2          |           |
MAKE  |L          |BACK-RIGHT |5          |2          |EXT-INT    |2          |2          |           |
MAKE  |M          |FRONT-RIGHT|5          |2          |INT-EXT    |2          |2          |           |from middle sides to sx and dx vertex (5 drop points), 2 tile from red line
MAKE  |N          |RIGHT-FRONT|5          |2          |INT-EXT    |2          |2          |           |
MAKE  |O          |LEFT-BACK  |5          |2          |INT-EXT    |2          |2          |           |
MAKE  |P          |BACK-LEFT  |5          |2          |INT-EXT    |2          |2          |           |
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|DROP BARBARIANS 
DROP  |A-B-C-D    |6-10       |6-7        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...             30-35 arch
DROP  |E-F-G-H    |1-4        |6-7        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...             30-35 arch
DROP  |I-J-K-L    |3-5        |6-7        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...             30-35 arch
DROP  |M-N-O-P    |1-3        |6-7        |arch       |0          |0          |500-1000   |           |launch archers using all 4 vectors concurrently...             30-35 arch


      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|MAKE ARCHERS VECTORS
MAKE  |A          |FRONT-RIGHT|10         |2          |EXT-INT    |5          |5          |           |from vertex sx and dx to middle sides (10 drop points)
MAKE  |B          |RIGHT-FRONT|10         |2          |EXT-INT    |5          |5          |           |
MAKE  |C          |LEFT-BACK  |10         |2          |EXT-INT    |5          |5          |           |
MAKE  |D          |BACK-LEFT  |10         |2          |EXT-INT    |5          |5          |           |
MAKE  |E          |FRONT-LEFT |10         |2          |INT-EXT    |5          |5          |           |from middle sides sx and dx to up and down vertex (10 drop points)
MAKE  |F          |RIGHT-BACK |10         |2          |INT-EXT    |5          |5          |           |
MAKE  |G          |LEFT-FRONT |10         |2          |INT-EXT    |5          |5          |           |
MAKE  |H          |BACK-RIGHT |10         |2          |INT-EXT    |5          |5          |           |
MAKE  |I          |FRONT-LEFT |5          |2          |EXT-INT    |5          |5          |           |from top and down vertex to middle sides (5 drop points)
MAKE  |J          |RIGHT-BACK |5          |2          |EXT-INT    |5          |5          |           |
MAKE  |K          |LEFT-FRONT |5          |2          |EXT-INT    |5          |5          |           |
MAKE  |L          |BACK-RIGHT |5          |2          |EXT-INT    |5          |5          |           |
MAKE  |M          |FRONT-RIGHT|5          |2          |INT-EXT    |5          |5          |           |from middle sides to sx and dx vertex (5 drop points)
MAKE  |N          |RIGHT-FRONT|5          |2          |INT-EXT    |5          |5          |           |
MAKE  |O          |LEFT-BACK  |5          |2          |INT-EXT    |5          |5          |           |
MAKE  |P          |BACK-LEFT  |5          |2          |INT-EXT    |5          |5          |           |
MAKE  |Z          |FRONT-LEFT |10         |-11        |INT-EXT    |0          |0          |           |For Poison spell
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|DROP ARCHERS
DROP  |A-B-C-D    |6-10       |6-7        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...                30-35 arch
DROP  |E-F-G-H    |1-4        |6-7        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...                30-35 arch
DROP  |I-J-K-L    |3-5        |6-7        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...                30-35 arch
DROP  |M-N-O-P    |1-3        |6-7        |arch       |0          |0          |0          |           |launch archers using all 4 vectors concurrently...                30-35 arch
DROP  |Z          |1          |1          |PSpell     |0          |0          |200-300    |           |Poison
